Month,Dollars
January,32616893.0
February,37489428.0
March,25304400.0
April,37119002.0
May,36836794.0
June,42130977.0
July,40804273.0
August,38559421.0
September,36660148.0
October,30112546.0
November,36023721.0
December,46649389.0
