Month,Dollars
January,13548733.0
February,10682075.0
March,14487780.0
April,10867121.0
May,11733085.0
June,8799846.0
July,7178127.0
August,19494153.0
September,24027365.0
October,16002615.0
November,19536382.0
December,20882986.0
