Month,Number
January,1497757.0
February,1344153.0
March,1694252.0
April,1741371.0
May,1892391.0
June,1852863.0
July,2092883.0
August,2225043.0
September,1893942.0
October,1805330.0
November,1634032.0
December,1567357.0
