Month,Thousand dollars
January,784089.0
February,903832.0
March,832237.0
April,325259.0
May,873563.0
June,1347948.0
July,1262426.0
August,1244422.0
September,1375065.0
October,1014794.0
November,939807.0
December,923874.0
