Month,Thousand dollars
January,3969749.0
February,4358523.0
March,6533171.0
April,6399367.0
May,6940637.0
June,6558038.0
July,6044981.0
August,6577816.0
September,6199103.0
October,5834554.0
November,5416768.0
December,4520254.0
