Month,Dollars
January,4995984.0
February,5341474.0
March,7985021.0
April,8237828.0
May,9238766.0
June,8486470.0
July,7343368.0
August,7358618.0
September,7487453.0
October,7031176.0
November,6699452.0
December,5316107.0
