Month,Farm product price index (FPPI)
January,1384.0
February,1398.0
March,1382.0
April,1338.0
May,1367.0
June,1394.0
July,1413.0
August,1347.0
September,1337.0
October,1393.0
November,1370.0
December,1343.0
