Month,Farm product price index (FPPI)
January,1343.0
February,1349.0
March,1356.0
April,1337.0
May,1364.0
June,1371.0
July,1330.0
August,1278.0
September,1247.0
October,1245.0
November,1251.0
December,1288.0
