Month,Farm product price index (FPPI)
January,1051.0
February,1029.0
March,1021.0
April,1012.0
May,1012.0
June,1003.0
July,1011.0
August,1036.0
September,1082.0
October,1109.0
November,1140.0
December,1113.0
