Month,Number
January,2073129.0
February,1943864.0
March,2539024.0
April,2617243.0
May,2853380.0
June,2950339.0
July,3388415.0
August,3534811.0
September,2791764.0
October,2645404.0
November,2349224.0
December,2380353.0
