Month,Thousand dollars
January,4280559.0
February,4779641.0
March,3741871.0
April,1980113.0
May,4320513.0
June,6014451.0
July,6157428.0
August,6366315.0
September,6548840.0
October,6103107.0
November,5212653.0
December,4562136.0
