Month,Tonnes
January,1618199.0
February,1450511.0
March,1673481.0
April,1873978.0
May,1308285.0
June,1831321.0
July,2128025.0
August,1134583.0
September,3108247.0
October,1810519.0
November,1852889.0
December,2170415.0
