Month,Farm product price index (FPPI)
January,1445.0
February,1448.0
March,1487.0
April,1497.0
May,1498.0
June,1528.0
July,1642.0
August,1883.0
September,1624.0
October,1469.0
November,1502.0
December,1523.0
