Month,Number
January,2181782.0
February,2087613.0
March,2653130.0
April,2632503.0
May,2949392.0
June,3058472.0
July,3358938.0
August,3483514.0
September,2821391.0
October,2695811.0
November,2351274.0
December,2374690.0
