Month,Farm product price index (FPPI)
January,1446.0
February,1451.0
March,1471.0
April,1472.0
May,1484.0
June,1511.0
July,1634.0
August,1817.0
September,1573.0
October,1417.0
November,1456.0
December,1465.0
