Month,Thousand dollars
January,886456.0
February,1002458.0
March,1639135.0
April,1726633.0
May,1997920.0
June,1842063.0
July,1545191.0
August,1488682.0
September,1474443.0
October,1281934.0
November,1105698.0
December,926212.0
