Month,Dollars
January,4538110.0
February,5022160.0
March,7537573.0
April,7925441.0
May,8590484.0
June,8299645.0
July,7295374.0
August,7488038.0
September,7694331.0
October,6915797.0
November,6764403.0
December,5530452.0
