Month,Number
January,2151134.0
February,1985971.0
March,2376086.0
April,2524673.0
May,2661197.0
June,2859996.0
July,3302694.0
August,3483738.0
September,2890900.0
October,2675920.0
November,2428578.0
December,2376122.0
