Month,Farm product price index (FPPI)
January,1363.0
February,1362.0
March,1365.0
April,1365.0
May,1365.0
June,1366.0
July,1367.0
August,1367.0
September,1367.0
October,1365.0
November,1370.0
December,1371.0
