Month,Thousand dollars
January,3786001.0
February,4667614.0
March,6737907.0
April,6546562.0
May,5734443.0
June,6343026.0
July,6039348.0
August,5631170.0
September,5468500.0
October,5290228.0
November,5048396.0
December,4764808.0
