Month,Number
January,1520514.0
February,1374721.0
March,1692134.0
April,1787166.0
May,1831843.0
June,1855073.0
July,2119074.0
August,2329640.0
September,1981937.0
October,1900570.0
November,1767828.0
December,1690725.0
