Month,Farm product price index (FPPI)
January,1297.0
February,1300.0
March,1306.0
April,1296.0
May,1312.0
June,1329.0
July,1337.0
August,1301.0
September,1279.0
October,1294.0
November,1285.0
December,1277.0
