Month,Persons
January,1047375.0
February,875292.0
March,1002245.0
April,999014.0
May,1027393.0
June,1096313.0
July,1339476.0
August,2008418.0
September,2026491.0
October,2102016.0
November,2296178.0
December,2966051.0
