Month,Number
January,2132795.0
February,1985152.0
March,2413193.0
April,2481273.0
May,2765665.0
June,2881952.0
July,3334402.0
August,3399740.0
September,2861710.0
October,2638655.0
November,2341600.0
December,2285715.0
