Month,Farm product price index (FPPI)
January,1449.0
February,1456.0
March,1471.0
April,1432.0
May,1459.0
June,1462.0
July,1428.0
August,1385.0
September,1321.0
October,1267.0
November,1272.0
December,1348.0
