Month,Number
January,1609692.0
February,1513851.0
March,1963638.0
April,1969013.0
May,2113119.0
June,2017457.0
July,2172661.0
August,2289548.0
September,1927463.0
October,1913202.0
November,1685834.0
December,1661527.0
