Month,Persons
January,6460003.0
February,6066966.0
March,7916982.0
April,7701035.0
May,8288864.0
June,8918874.0
July,10652180.0
August,11281509.0
September,8423601.0
October,7427144.0
November,6530956.0
December,7141914.0
