Month,Farm product price index (FPPI)
January,1358.0
February,1364.0
March,1358.0
April,1355.0
May,1345.0
June,1340.0
July,1339.0
August,1348.0
September,1359.0
October,1365.0
November,1366.0
December,1366.0
