Month,Farm product price index (FPPI)
January,1385.0
February,1379.0
March,1380.0
April,1387.0
May,1396.0
June,1401.0
July,1404.0
August,1405.0
September,1411.0
October,1403.0
November,1405.0
December,1396.0
