Month,Farm product price index (FPPI)
January,1369.0
February,1400.0
March,1437.0
April,1426.0
May,1483.0
June,1493.0
July,1449.0
August,1411.0
September,1337.0
October,1348.0
November,1382.0
December,1364.0
