Month,Farm product price index (FPPI)
January,1295.0
February,1308.0
March,1327.0
April,1322.0
May,1352.0
June,1362.0
July,1362.0
August,1328.0
September,1286.0
October,1285.0
November,1302.0
December,1291.0
