Month,Farm product price index (FPPI)
January,1045.0
February,1048.0
March,1067.0
April,1046.0
May,1060.0
June,1045.0
July,1011.0
August,1047.0
September,1084.0
October,1110.0
November,1111.0
December,1112.0
