Month,Farm product price index (FPPI)
January,1407.0
February,1405.0
March,1411.0
April,1418.0
May,1419.0
June,1423.0
July,1429.0
August,1435.0
September,1442.0
October,1452.0
November,1445.0
December,1439.0
