Month,Farm product price index (FPPI)
January,1073.0
February,1095.0
March,1078.0
April,1057.0
May,1060.0
June,1052.0
July,1044.0
August,1055.0
September,1063.0
October,1091.0
November,1080.0
December,1058.0
