Month,Farm product price index (FPPI)
January,1180.0
February,1173.0
March,1176.0
April,1193.0
May,1217.0
June,1232.0
July,1255.0
August,1267.0
September,1244.0
October,1244.0
November,1236.0
December,1237.0
