Month,Farm product price index (FPPI)
January,1362.0
February,1349.0
March,1395.0
April,1416.0
May,1421.0
June,1446.0
July,1550.0
August,1687.0
September,1509.0
October,1345.0
November,1383.0
December,1417.0
