Month,Farm product price index (FPPI)
January,1221.0
February,1209.0
March,1212.0
April,1216.0
May,1212.0
June,1207.0
July,1224.0
August,1229.0
September,1237.0
October,1243.0
November,1201.0
December,1201.0
