Month,Farm product price index (FPPI)
January,1401.0
February,1400.0
March,1391.0
April,1369.0
May,1359.0
June,1375.0
July,1349.0
August,1343.0
September,1345.0
October,1343.0
November,1361.0
December,1410.0
