Month,Persons
January,1492214.0
February,1494480.0
March,1803565.0
April,2071471.0
May,2808944.0
June,3887483.0
July,4713420.0
August,4612427.0
September,3144439.0
October,2422569.0
November,1786974.0
December,2191785.0
