Month,Farm product price index (FPPI)
January,1372.0
February,1372.0
March,1372.0
April,1387.0
May,1387.0
June,1400.0
July,1407.0
August,1453.0
September,1454.0
October,1452.0
November,1452.0
December,1453.0
