Month,Dollars
January,13066750.0
February,12378648.0
March,12748345.0
April,12895339.0
May,13448918.0
June,14117480.0
July,13976996.0
August,11209042.0
September,11759401.0
October,13119607.0
November,13965691.0
December,11576791.0
