Month,Farm product price index (FPPI)
January,1194.0
February,1189.0
March,1194.0
April,1207.0
May,1215.0
June,1207.0
July,1201.0
August,1205.0
September,1205.0
October,1205.0
November,1206.0
December,1197.0
