Month,Farm product price index (FPPI)
January,1163.0
February,1146.0
March,1179.0
April,1146.0
May,1145.0
June,1142.0
July,1157.0
August,1232.0
September,1189.0
October,1140.0
November,1130.0
December,1124.0
