Month,Farm product price index (FPPI)
January,1060.0
February,1051.0
March,1067.0
April,1052.0
May,1062.0
June,1106.0
July,1136.0
August,1099.0
September,1101.0
October,1108.0
November,1190.0
December,1198.0
