Month,Farm product price index (FPPI)
January,1080.0
February,1072.0
March,1093.0
April,1096.0
May,1100.0
June,1107.0
July,1092.0
August,1135.0
September,1112.0
October,1097.0
November,1094.0
December,1105.0
